feature,gain
y_growth_prev,0.9586063027381897
log_hpi_t_chg_1y,0.36942219734191895
year,0.31236371397972107
hpi_growth_1y,0.3105196952819824
unemp_asof_chg_1y,0.17253486812114716
unemp_chg_1y,0.12421127408742905
hpi_growth_1y_chg_1y,0.059064801782369614
growth_ma3,0.05839335918426514
growth_ma2,0.053992290049791336
log_hpi_t,0.04806185141205788
county_fips,0.042090389877557755
unemp_ma3,0.0388975515961647
unemp_lag1_chg_1y,0.036796823143959045
unemp_chg_1y_chg_1y,0.03480669856071472
pov_asof,0.028460726141929626
unemp_ma3_chg_1y,0.027684636414051056
pov_ma3,0.024908436462283134
unemp_lag1,0.020946266129612923
unemp_asof,0.01957460306584835
pov_ma3_chg_1y,0.019567623734474182
pov_lag1,0.01883579045534134
pov_chg_1y_chg_1y,0.014091424643993378
pov_lag1_chg_1y,0.014059484004974365
pov_asof_chg_1y,0.013877799734473228
unemp_missing_t_chg_1y,0.013539317063987255
pov_chg_1y,0.011217547580599785
unemp_missing_t,0.009898415766656399
